0.29, 0, 0, 29.00007, 11.8116, 0, 955.4178, -1322.123, -3.194287, 0.02042972, 0.1612821, 42.9591, 3.140957, 2.36395, 91.28429
 
0.3, -0.2243837, 0, 29.44469, 11.67576, 1.6042726259533620004903287876, 1019.939, -1322.86, -3.194287, 0.02042972, 0.1612821, 44.38688, 2.976527, 2.363488, 91.32959
 
0.31, -0.2321652, -0.002243837, 29.89489, 11.54919, 1.5520265340942744053440385175, 1086.062, -1323.598, -3.194287, 0.02042972, 0.1612821, 45.80407, 2.981014, 2.363027, 91.37489
 
0.32, -0.2398891, -0.004565489, 30.44046, 11.51769, 1.5030147814818852848757475132, 1154.225, -1324.337, -3.194287, 0.02042972, 0.1612821, 47.2206, 2.985268, 2.362566, 91.4202
 
0.33, -0.2474997, -0.00696438, 31.00989, 11.50977, 1.4565712842828819332065284139, 1224.421, -1325.075, -3.194287, 0.02042972, 0.1612821, 48.63642, 2.98934, 2.362105, 91.4655
 
0.3399999, -0.2550032, -0.009439377, 31.58505, 11.50657, 1.4124406325534872773126476684, 1296.743, -1325.814, -3.194287, 0.02042972, 0.1612821, 50.05336, 2.993248, 2.361644, 91.5108
 
0.3499999, -0.2623781, -0.01198941, 32.17232, 11.51439, 1.3703403091625000710392773848, 1371.204, -1326.554, -3.194287, 0.02042972, 0.1612821, 51.47163, 2.997011, 2.361182, 91.55611
 
0.3599999, -0.2695395, -0.01461319, 32.73336, 11.49776, 1.3300694197319795830282531799, 1447.421, -1327.294, -3.194287, 0.02042972, 0.1612821, 52.88409, 3.000642, 2.360721, 91.60142
 
0.3699999, -0.2764982, -0.01730859, 33.25514, 11.44399, 1.2916270606890100176248623779, 1525.318, -1328.035, -3.194287, 0.02042972, 0.1612821, 54.28989, 3.004138, 2.36026, 91.64672
 
0.3799999, -0.2833053, -0.02007357, 33.80365, 11.41623, 1.2548475769993064358104489720, 1605.276, -1328.776, -3.194287, 0.02042972, 0.1612821, 55.69612, 3.007511, 2.359799, 91.69202
 
0.3899999, -0.2899156, -0.02290662, 34.38792, 11.42319, 1.2194053812227485978725002012, 1687.341, -1329.517, -3.194287, 0.02042972, 0.1612821, 57.10356, 3.010786, 2.359338, 91.73733
 
